measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed
2003-01-01,,,,-7.0,0.0,0.0
2003-02-01,,,,11.0,248.0,248.0
2003-03-01,,,,83.0,1286.0,1286.0
2003-04-01,,,,-7.0,0.0,0.0
2003-05-01,,,,-8.0,0.0,0.0
2003-06-01,,,,17.0,443.0,443.0
2003-07-01,,,,101.0,1735.0,1735.0
2003-08-01,,,,51.0,1276.0,1276.0
2003-10-01,,,,43.0,995.0,995.0
2003-11-01,,,,-10.0,0.0,0.0
2003-12-01,,,,14.0,308.0,308.0
2004-01-01,,,,27.808,451.0,451.0
2004-02-01,,,,20.292,329.0,329.0
2004-03-01,,,,26.023,422.0,422.0
2004-04-01,,,,28.372,460.0,460.0
2004-05-01,,,,32.693000000000005,531.0,531.0
2004-06-01,,,,32.505,528.0,528.0
2004-07-01,,,,30.345,493.0,493.0
2004-08-01,,,,68.48700000000001,1112.0,1112.0
2004-09-01,,,,28.654,465.0,465.0
2004-10-01,,,,252.52700000000002,4099.0,4099.0
2004-11-01,,,,19.917,323.0,323.0
2004-12-01,,,,31.378,509.0,509.0
2005-01-01,,,,74.569,1728.58,1728.58
2005-02-01,,,,17.164,397.89,397.89
2005-03-01,,,,14.729000000000001,341.43,341.43
2005-04-01,,,,14.737,341.63,341.63
2005-05-01,,,,14.859,344.44,344.44
2005-06-01,,,,18.0,417.25,417.25
2005-07-01,,,,34.089,790.22,790.22
2005-08-01,,,,30.193,699.9,699.9
2005-09-01,,,,16.8,389.44,389.44
2005-10-01,,,,23.554000000000002,546.01,546.01
2005-11-01,,,,15.86,367.66,367.66
2005-12-01,,,,43.445,1007.1,1007.1
2006-01-01,,,,60.407000000000004,1060.0,1060.0
2006-02-01,,,,31.609,555.0,555.0
2006-03-01,,,,26.552,466.0,466.0
2006-04-01,,,,50.862,892.0,892.0
2006-05-01,,,,47.543,834.0,834.0
2006-06-01,,,,43.213,758.0,758.0
2006-07-01,,,,62.595,1098.0,1098.0
2006-08-01,,,,60.717000000000006,1065.0,1065.0
2006-09-01,,,,27.894000000000002,489.0,489.0
2006-10-01,,,,29.466,517.0,517.0
