measured_on,"Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed"
2004-12-01,17.60307,77.45,42248.53,14.40284,63.37,34567.76,4.0951,18.02,9828.5,,,
2005-01-01,11.54518,50.8,42082.79,9.07122,39.91,33065.05,2.9686000000000003,13.06,10820.7,,,
2005-02-01,10.29938,45.31,37541.21,8.09235,35.6,29496.61,2.6482699999999997,11.65,9652.94,,,
2005-03-01,11.763539999999999,51.75,42877.23,9.24275,40.66,33689.15,3.02471,13.31,11024.86,,,
2005-04-01,11.73903,51.65,42788.59,9.223519999999999,40.58,33619.61,3.01845,13.28,11002.2,,,
2005-05-01,12.905579999999999,56.78,47039.87,10.14007,44.61,36959.79,3.3183599999999998,14.6,12095.16,,,
2005-06-01,12.78561,56.25,46602.86,10.04584,44.2,36616.54,3.28755,14.46,11982.96,,,
2005-07-01,13.23843,58.25,48254.77,10.40162,45.76,37914.47,3.40395,14.98,12407.56,,,
2005-08-01,13.17872,57.98,48036.71,10.35469,45.56,37743.08,3.3885799999999997,14.91,12351.46,,,
2005-09-01,12.414579999999999,54.62,45250.26,9.75428,42.91,35553.67,3.1921399999999998,14.04,11635.14,,,
2005-10-01,12.53158,55.13,45676.78,9.846219999999999,43.32,35888.85,3.2222,14.18,11744.7,,,
2005-11-01,12.62116,55.53,46004.25,9.91659,43.63,36146.09,3.24525,14.28,11828.96,,,
2005-12-01,12.64955,55.65,46106.86,9.9389,43.73,36226.71,3.25255,14.31,11855.36,,,
2006-01-01,,,,,,,0.45882,2.02,9440.2,,,
2006-02-01,,,,,,,0.41818,1.84,8689.34,,,
2006-03-01,,,,,,,0.50418,2.22,10958.86,,,
2006-04-01,,,,,,,0.48012,2.11,9832.9,,,
2006-05-01,,,,,,,0.51562,2.27,10567.04,,,
2006-06-01,,,,,,,0.43606999999999996,1.92,8823.32,,,
2006-07-01,,,,,,,0.49361,2.17,10094.7,,,
2006-08-01,,,,,,,0.47228,2.08,9594.86,,,
2006-09-01,,,,,,,0.47562,2.09,9727.3,,,
2006-10-01,,,,,,,0.50854,2.24,10554.06,,,
2006-11-01,,,,,,,0.49432,2.18,10433.06,,,
2006-12-01,,,,,,,0.48163,2.12,10040.8,,,
2013-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
