measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed
2003-01-01,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0
2008-01-01,1119.0,18823.0,18823.0
2008-02-01,284.0,5033.0,5033.0
2008-03-01,2656.0,42355.0,42355.0
2008-04-01,4390.0,70777.0,70777.0
2008-05-01,21.0,450.0,450.0
2008-06-01,297.0,4507.0,4507.0
2008-07-01,284.0,4718.0,4718.0
2008-08-01,269.0,4346.0,4346.0
2008-09-01,2372.0,37823.0,37823.0
2008-10-01,93.0,1717.0,1717.0
2008-11-01,1352.0,23455.0,23455.0
2008-12-01,1651.0,25364.0,25364.0
2009-01-01,126.0,2136.0,2136.0
2009-02-01,258.0,5137.0,5137.0
2009-03-01,47.0,938.0,938.0
2009-04-01,544.0,8565.0,8565.0
2009-05-01,136.0,2405.0,2405.0
2009-06-01,1255.0,20886.0,20886.0
2009-07-01,1485.0,27496.0,27496.0
2009-08-01,1479.0,24668.0,24668.0
2009-09-01,3530.0,58805.0,58805.0
2009-10-01,1544.0,25184.0,25184.0
2009-11-01,2469.0,38706.0,38706.0
2009-12-01,607.0,10403.0,10403.0
2010-01-01,1145.0,20153.0,20153.0
2010-02-01,1440.0,23521.0,23521.0
2010-03-01,717.0,13554.0,13554.0
2010-04-01,383.0,6841.0,6841.0
2010-05-01,197.0,1117.0,1117.0
2010-06-01,0.0,0.0,0.0
2010-07-01,10.0,173.0,173.0
2010-08-01,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0
