measured_on,"Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2014-01-01,,,,45.834,16980.0,16980.0,0.0,0.0,0.0,25.008,9258.0,9258.0
2014-02-01,,,,39.823,14755.0,14755.0,0.0,0.0,0.0,25.632,9499.0,9499.0
2014-03-01,,,,39.583,14664.0,14664.0,0.0,0.0,0.0,29.108,10787.0,10787.0
2014-04-01,,,,29.485,10919.0,10919.0,0.0,0.0,0.0,24.47,9062.0,9062.0
2014-05-01,,,,35.865,13280.0,13280.0,0.0,0.0,0.0,19.192,7107.0,7107.0
2014-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2014-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2014-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2014-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2014-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2014-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2014-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2015-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2016-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2016-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2016-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2016-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2016-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2016-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2016-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2016-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2016-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2016-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2016-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2016-12-01,0.0,0.0,0.0,,,,0.0,12.0,12.0,,,
2017-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2017-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2017-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
