measured_on,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed
2003-01-01,3083.0,31573.0,31573.0
2003-02-01,2055.0,21045.26,21045.26
2003-03-01,2645.0,27087.45,27087.45
2003-04-01,2949.0,30200.71,30200.71
2003-05-01,2198.0,22509.72,22509.72
2003-06-01,3105.0,31798.31,31798.31
2003-07-01,4321.0,44251.36,44251.36
2003-08-01,3254.0,33324.21,33324.21
2003-09-01,1270.0,13006.07,13006.07
2003-10-01,4715.0,48286.32,48286.32
2003-11-01,2633.0,26964.55,26964.55
2003-12-01,4228.0,43298.95,43298.95
2004-01-01,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0
2004-06-01,2036.0,20404.79,20404.79
2004-07-01,1627.0,16305.79,16305.79
2004-08-01,6850.0,68650.7,68650.7
2004-09-01,5007.0,50180.15,50180.15
2004-10-01,2930.0,29364.46,29364.46
2004-11-01,1313.0,13158.89,13158.89
2004-12-01,2863.0,28692.99,28692.99
2005-01-01,2738.0,27377.26,27377.26
2005-02-01,3333.0,33326.67,33326.67
2005-03-01,6056.0,60553.94,60553.94
2005-04-01,2754.0,27537.25,27537.25
2005-05-01,-3709.0,0.0,0.0
2005-06-01,1754.0,17538.25,17538.25
2005-07-01,1211.0,12108.79,12108.79
2005-08-01,1669.0,16688.33,16688.33
2005-09-01,1563.0,15628.44,15628.44
2005-10-01,1110.0,11098.89,11098.89
2005-11-01,209.0,2089.79,2089.79
2005-12-01,1701.0,17008.3,17008.3
2006-01-01,1103.0,10941.0,10941.0
2006-02-01,1443.0,14313.0,14313.0
2006-03-01,910.0,9026.0,9026.0
2006-04-01,844.0,8372.0,8372.0
2006-05-01,1786.0,17715.0,17715.0
2006-06-01,1669.0,16555.0,16555.0
2006-07-01,1789.0,17745.0,17745.0
2006-08-01,2035.0,20185.0,20185.0
2006-09-01,1019.0,10107.0,10107.0
2006-10-01,555.0,5505.0,5505.0
2006-11-01,1431.0,14194.0,14194.0
2006-12-01,1410.0,13986.0,13986.0
2007-01-01,2941.0,29069.0,29069.0
2007-02-01,694.0,6859.0,6859.0
2007-03-01,1004.0,9924.0,9924.0
2007-04-01,862.0,8520.0,8520.0
2007-05-01,622.0,6148.0,6148.0
2007-06-01,1698.0,16783.0,16783.0
2007-07-01,1421.0,14045.0,14045.0
2007-08-01,1645.0,16259.0,16259.0
2007-09-01,477.0,4715.0,4715.0
2007-10-01,405.0,4003.0,4003.0
2007-11-01,1474.0,14569.0,14569.0
2007-12-01,475.0,4695.0,4695.0
2008-01-01,656.451,6469.0,6469.0
2008-02-01,1079.01,10633.0,10633.0
2008-03-01,1050.2630000000001,10349.0,10349.0
2008-04-01,739.4,7286.0,7286.0
2008-05-01,466.14300000000003,4593.0,4593.0
2008-06-01,631.288,6221.0,6221.0
2008-07-01,730.145,7195.0,7195.0
2008-08-01,1194.314,11769.0,11769.0
2008-09-01,557.23,5491.0,5491.0
2008-10-01,565.493,5572.0,5572.0
2008-11-01,350.248,3451.0,3451.0
2008-12-01,1432.015,14111.0,14111.0
2009-01-01,1166.011,11380.0,11380.0
2009-02-01,612.147,5975.0,5975.0
2009-03-01,712.135,6950.0,6950.0
2009-04-01,562.711,5492.0,5492.0
2009-05-01,1095.289,10690.0,10690.0
2009-06-01,842.638,8224.0,8224.0
2009-07-01,590.806,5766.0,5766.0
2009-08-01,857.99,8374.0,8374.0
2009-09-01,844.205,8239.0,8239.0
2009-10-01,1286.6580000000001,12558.0,12558.0
2009-11-01,1330.976,12990.0,12990.0
2009-12-01,1427.434,13932.0,13932.0
2010-01-01,1596.433,15575.0,15575.0
2010-02-01,1680.834,16398.0,16398.0
2010-03-01,957.1080000000001,9338.0,9338.0
2010-04-01,407.28700000000003,3973.0,3973.0
2010-05-01,782.769,7637.0,7637.0
2010-06-01,665.654,6494.0,6494.0
2010-07-01,562.811,5491.0,5491.0
2010-08-01,1063.401,10375.0,10375.0
2010-09-01,872.4720000000001,8512.0,8512.0
2010-10-01,791.773,7725.0,7725.0
2010-11-01,948.226,9251.0,9251.0
2010-12-01,1503.232,14666.0,14666.0
2011-01-01,1619.622,15736.0,15736.0
2011-02-01,1344.439,13063.0,13063.0
2011-03-01,2670.322,25945.0,25945.0
2011-04-01,2170.365,21087.0,21087.0
2011-05-01,1415.118,13749.0,13749.0
2011-06-01,1302.963,12660.0,12660.0
2011-07-01,1272.916,12368.0,12368.0
2011-08-01,1501.611,14590.0,14590.0
2011-09-01,1340.595,13025.0,13025.0
2011-10-01,1322.296,12847.0,12847.0
2011-11-01,1783.853,17332.0,17332.0
