measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2013-09-01,0.0,0.0,0.0,,,
2013-10-01,0.0,0.0,0.0,,,
2013-11-01,0.0,0.0,0.0,,,
2013-12-01,0.0,0.0,0.0,,,
2014-01-01,0.0,0.0,0.0,,,
2014-02-01,0.0,0.0,0.0,,,
2014-03-01,0.0,0.0,0.0,,,
2014-04-01,0.0,0.0,0.0,,,
2014-05-01,0.0,0.0,0.0,,,
2014-06-01,0.0,0.0,0.0,,,
2014-07-01,0.0,0.0,0.0,,,
2014-08-01,0.0,0.0,0.0,,,
2014-09-01,0.0,0.0,0.0,,,
2014-10-01,0.0,0.0,0.0,,,
2014-11-01,0.0,0.0,0.0,,,
2014-12-01,0.0,0.0,0.0,,,
