measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed"
2003-01-01,,,,306.31600000000003,3206.0,3206.0,,,
2003-02-01,,,,261.449,2736.0,2736.0,,,
2003-03-01,,,,238.978,2501.0,2501.0,,,
2003-04-01,,,,207.59,2172.0,2172.0,,,
2003-05-01,,,,219.198,2294.0,2294.0,,,
2003-06-01,,,,259.295,2714.0,2714.0,,,
2003-07-01,,,,320.136,3350.0,3350.0,,,
2003-08-01,,,,339.933,3558.0,3558.0,,,
2003-09-01,,,,251.93800000000002,2637.0,2637.0,,,
2003-10-01,,,,231.75300000000001,2425.0,2425.0,,,
2003-11-01,,,,237.7,2488.0,2488.0,,,
2003-12-01,,,,312.784,3273.0,3273.0,,,
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
