measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-10-01,45.0,780.78,780.78,,,,,,,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
