measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,,,,0.0,0.0,0.0,,,,4274.0,47007.0,47007.0,,,
2003-02-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-03-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-04-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-05-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-06-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-07-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-08-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-09-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-10-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-11-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2003-12-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2004-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-02-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-03-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-04-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-05-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-06-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-07-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
