measured_on,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed
2001-01-01,2007.8390000000002,20747.0,20747.0
2001-02-01,1927.745,19919.39,19919.39
2001-03-01,1979.209,20451.17,20451.17
2001-04-01,1855.172,19169.49,19169.49
2001-05-01,1787.3,18468.17,18468.17
2001-06-01,2206.781,22802.67,22802.67
2001-07-01,2255.126,23302.22,23302.22
2001-08-01,2588.558,26747.57,26747.57
2001-09-01,2048.321,21165.3,21165.3
2001-10-01,2028.537,20960.87,20960.87
2001-11-01,2053.087,21214.55,21214.55
2001-12-01,2313.324,23903.58,23903.58
2002-01-01,2658.494,27044.86,27044.86
2002-02-01,2334.466,23748.52,23748.52
2002-03-01,2444.349,24866.36,24866.36
2002-04-01,2343.8520000000003,23844.01,23844.01
2002-05-01,2496.8160000000003,25400.11,25400.11
2002-06-01,2754.44,28020.92,28020.92
2002-07-01,3160.674,32153.54,32153.54
2002-08-01,3240.847,32969.14,32969.14
2002-09-01,2829.5190000000002,28784.7,28784.7
2002-10-01,2524.344,25680.15,25680.15
2002-11-01,2236.2760000000003,22749.64,22749.64
2002-12-01,2629.925,26754.23,26754.23
2003-01-01,2600.1690000000003,26628.33,26628.33
2003-02-01,2348.223,24048.15,24048.15
2003-03-01,2409.2470000000003,24673.1,24673.1
2003-04-01,2174.514,22269.2,22269.2
2003-05-01,2199.9230000000002,22529.41,22529.41
2003-06-01,2440.112,24989.19,24989.19
2003-07-01,2836.723,29050.88,29050.88
2003-08-01,2879.7960000000003,29491.99,29491.99
2003-09-01,2427.785,24862.95,24862.95
2003-10-01,2326.4610000000002,23825.29,23825.29
2003-11-01,2285.075,23401.45,23401.45
2003-12-01,2578.922,26410.74,26410.74
2004-01-01,2796.539,28026.91,28026.91
2004-02-01,2510.445,25159.68,25159.68
2004-03-01,2921.146,29275.73,29275.73
2004-04-01,2587.498,25931.9,25931.9
2004-05-01,2681.539,26874.38,26874.38
2004-06-01,2695.989,27019.2,27019.2
2004-07-01,2769.471,27755.64,27755.64
2004-08-01,2765.9210000000003,27720.06,27720.06
2004-09-01,2626.382,26321.6,26321.6
2004-10-01,2587.395,25930.87,25930.87
2004-11-01,2847.8810000000003,28541.46,28541.46
2004-12-01,3057.7920000000004,30645.19,30645.19
2005-01-01,3542.1760000000004,35418.22,35418.22
2005-02-01,2878.449,28781.61,28781.61
2005-03-01,3144.9990000000003,31446.85,31446.85
2005-04-01,3942.585,39421.91,39421.91
2005-05-01,2921.123,29208.31,29208.31
2005-06-01,2617.155,26168.93,26168.93
2005-07-01,2222.114,22218.92,22218.92
2005-08-01,1752.1080000000002,17519.33,17519.33
2005-09-01,1513.536,15133.84,15133.84
2005-10-01,3078.57,30782.62,30782.62
2005-11-01,3380.6910000000003,33803.53,33803.53
2005-12-01,3575.494,35751.37,35751.37
2006-01-01,2977.022,29529.0,29529.0
2006-02-01,2684.3940000000002,26627.0,26627.0
2006-03-01,2364.989,23458.0,23458.0
2006-04-01,2574.213,25534.0,25534.0
2006-05-01,3043.576,30189.0,30189.0
2006-06-01,2990.512,29663.0,29663.0
2006-07-01,3135.9610000000002,31106.0,31106.0
2006-08-01,3113.3,30881.0,30881.0
2006-09-01,2020.9,20045.0,20045.0
2006-10-01,1781.566,17671.0,17671.0
2006-11-01,2086.803,20699.0,20699.0
2006-12-01,2209.766,21919.0,21919.0
2007-01-01,2806.226,27737.0,27737.0
2007-02-01,2225.246,21994.0,21994.0
2007-03-01,2656.59,26258.0,26258.0
