measured_on,Black Liquor - Combined Cycle Combustion Turbine Part - Wood and Wood-derived Fuels - Generation,Black Liquor - Combined Cycle Combustion Turbine Part - Wood and Wood-derived Fuels - Quantity Consumed For Electricity,Black Liquor - Combined Cycle Combustion Turbine Part - Wood and Wood-derived Fuels - Total Fuel Consumed,Black Liquor - Combined Cycle Steam Part - Wood and Wood-derived Fuels - Generation,Black Liquor - Combined Cycle Steam Part - Wood and Wood-derived Fuels - Quantity Consumed For Electricity,Black Liquor - Combined Cycle Steam Part - Wood and Wood-derived Fuels - Total Fuel Consumed,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed",Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Other - Combined Cycle Steam Part - Other - Generation,Other - Combined Cycle Steam Part - Other - Quantity Consumed For Electricity,Other - Combined Cycle Steam Part - Other - Total Fuel Consumed
2003-01-01,,,,7453.0,77808.0,272614.0,,,,,,,28522.0,150578.0,294467.0,4680.0,48862.0,171198.0,,,,,,,,,
2003-02-01,,,,8938.0,84205.0,309427.0,,,,,,,20764.0,220075.0,220075.0,5137.0,48401.0,177858.0,,,,,,,,,
2003-03-01,,,,10537.372,96402.0,327731.0,,,,,,,26229.634,281870.0,281870.0,5877.036,53761.0,182770.0,,,,,,,,,
2003-04-01,,,,7390.469,83969.0,287260.0,,,,,,,27218.743000000002,290944.0,290944.0,3745.17,42550.0,145568.0,,,,,,,,,
2003-05-01,,,,7158.076,75427.0,260686.0,,,,,,,20755.924,230306.0,230306.0,4653.6140000000005,49039.0,169486.0,,,,,,,,,
2003-06-01,,,,7075.49,85975.0,295422.0,,,,,,,26752.037,283456.0,283456.0,2847.29,34594.0,118868.0,,,,,,,,,
2003-07-01,,,,5884.718,72726.0,248305.0,,,,,,,30379.091,320047.0,320047.0,2688.84,33233.0,113467.0,,,,,,,,,
2003-08-01,,,,7788.993,29433.0,263007.0,,,,,,,29056.756999999998,310220.0,310220.0,1499.989,5668.0,50653.0,,,,,,,,,
2003-09-01,,,,6054.692,75751.0,243026.0,,,,,,,30185.11,322893.0,322893.0,2152.032,26918.0,86355.0,,,,,,,,,
2003-10-01,,,,6895.0,75196.0,247680.0,,,,,,,26825.0,275482.0,275482.0,3974.0,43345.0,142770.0,,,,,,,,,
2003-11-01,,,,13449.002,236367.0,247330.0,,,,,,,,,,4295.0,72498.0,75860.0,,,,,,,,,
2003-12-01,,,,3604.9660000000003,60414.0,259954.0,,,,,,,29827.878,317377.0,317377.0,1356.0,21820.0,93883.0,,,,,,,,,
2004-01-01,0.0,0.0,0.0,4539.06875,29906.08,250605.2,,,,,,,26431.297,174145.06,256293.46,7635.61425,50307.96,165274.21,,,,,,,,,
2004-02-01,0.0,0.0,0.0,3503.13298,23080.72,233655.8,,,,,,,26592.628,175208.0,307868.85,5905.88702,38911.48,86048.47,,,,,,,,,
2004-03-01,0.0,0.0,0.0,4509.59947,29711.91,265194.0,,,,,,,22123.391,145762.02,219417.78,6278.41153,41365.89,149793.96,,,,,,,,,
2004-04-01,0.0,0.0,0.0,3485.31288,22963.31,234260.0,,,,,,,23586.889,155404.41,231387.79,5221.72712,34403.83,119582.65,,,,,,,,,
2004-05-01,0.0,0.0,0.0,4622.55399,30456.13,296450.2,,,,,,,28195.368000000002,185767.8,338713.69,6234.59801,41077.23,61118.92,,,,,,,,,
2004-06-01,0.0,0.0,0.0,4923.98607,32442.14,299248.6,,,,,,,25111.845,165451.72,264975.7,5788.16093,38135.83,86791.96,,,,,,,,,
2004-07-01,0.0,0.0,0.0,4169.84606,27473.42,298873.89,,,,,,,29578.2,194878.72,313620.89,5521.50094,36378.92,82132.92,,,,,,,,,
2004-08-01,0.0,0.0,0.0,3829.88448,25233.55,280008.54,,,,,,,29744.332000000002,195973.3,311618.21,5314.09152,35012.39,76902.91,,,,,,,,,
2004-09-01,0.0,0.0,0.0,4822.5749000000005,31773.98,299007.45,,,,,,,26679.055,175777.43,276616.11,5861.7231,38620.51,86820.21,,,,,,,,,
2004-10-01,0.0,0.0,0.0,4305.55002,28367.51,259151.7,,,,,,,26643.524,175543.33,310677.46,6831.04998,45007.0,100484.46,,,,,,,,,
2004-11-01,0.0,0.0,0.0,5577.15329,36745.6,280275.0,,,,,,,15384.966,101365.28,218582.56,6509.18171,42886.35,108530.72,,,,,,,,,
2004-12-01,0.0,0.0,0.0,3679.83948,24244.96,222943.32,,,,,,,16453.78,108407.26,245436.7,5497.74752,36222.42,87644.7,,,,,,,,,
2005-01-01,0.0,0.0,0.0,4231.77436,27881.44,240741.9,,,,,,,16033.169,105636.02,232747.34,5703.48964,37577.97,91719.14,,,,,,,,,
2005-02-01,0.0,0.0,0.0,5768.16576,38004.1,314445.1,,,,,,,15938.099,105009.65,196660.96,5259.91924,34655.47,90077.65,,,,,,,,,
2005-03-01,0.0,0.0,0.0,5945.48919,39172.41,331006.2,,,,,,,16951.216,111684.66,223145.68,5818.18581,38333.66,100773.1,,,,,,,,,
2005-04-01,0.0,0.0,0.0,4447.79939,29304.74,257788.44,,,,,,,14469.8,95335.62,205582.34,4968.90161,32738.07,82408.48,,,,,,,,,
2005-05-01,0.0,0.0,0.0,6226.48657,41023.79,339537.9,,,,,,,18650.947,122883.5,228402.42,6056.71043,39905.2,101877.38,,,,,,,,,
2005-06-01,0.0,0.0,0.0,6219.91159,40980.47,347545.38,,,,,,,18362.857,120985.39,222641.31,5755.98941,37923.87,98981.83,,,,,,,,,
2005-07-01,0.0,0.0,0.0,6363.76204,41928.24,348791.94,,,,,,,16944.494,111640.37,212368.6,5666.87596,37336.74,98227.66,,,,,,,,,
2005-08-01,0.0,0.0,0.0,5479.34248,36101.16,344740.62,,,,,,,15951.543000000001,105098.23,218329.35,4892.85752,32237.05,89511.74,,,,,,,,,
2005-09-01,0.0,0.0,0.0,6664.69091,43910.94,345653.28,,,,,,,14259.494999999999,93950.01,231116.08,5630.99009,37100.3,60926.0,,,,,,,,,
2005-10-01,0.0,0.0,0.0,6175.20457,40685.91,353544.45,,,,,,,26583.025,175144.73,276724.87,6636.15743,43722.94,103210.18,,,,,,,,,
2005-11-01,0.0,0.0,0.0,5509.74379,36301.46,333332.37,,,,,,,26065.423000000003,171734.46,268840.78,5977.36421,39382.42,92782.02,,,,,,,,,
2005-12-01,0.0,0.0,0.0,5408.24121,35632.7,344629.32,,,,,,,28101.259,185147.76,291747.78,6052.93879,39880.35,93963.6,,,,,,,,,
2006-01-01,0.0,0.0,0.0,6421.13243,42306.23,385509.81,,,,,,,27381.994,180408.81,286382.51,6541.95757,43102.29,106381.36,,,,,,,,,
2006-02-01,0.0,0.0,0.0,6521.63087,42968.37,358263.57,,,,,,,19841.719,130729.01,215580.04,5681.86213,37435.47,96551.12,,,,,,,,,
2006-03-01,0.0,0.0,0.0,6770.07169,44605.25,399233.1,,,,,,,26614.715,175353.52,273343.36,6418.68831,42290.13,105168.56,,,,,,,,,
2006-04-01,0.0,0.0,0.0,4753.73642,31320.43,290593.17,,,,,,,19720.721,129931.8,227633.95,5024.03858,33101.34,79482.64,,,,,,,,,
2006-05-01,0.0,0.0,0.0,6124.14196,40349.48,361814.04,,,,,,,24059.356,158517.3,251389.79,5849.83904,38542.21,94218.44,,,,,,,,,
