measured_on,"Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2004-01-01,356.75957,1670.54,32772.68,291.91443,1366.9,26815.87,,,
2004-02-01,330.84952,1549.22,30392.53,270.71448,1267.63,24868.4,,,
2004-03-01,439.74206,2059.11,40398.17,359.77194,1684.65,33051.48,,,
2004-04-01,346.83501,1624.07,31861.0,283.79299000000003,1328.87,26069.83,,,
2004-05-01,362.88005,1699.2,33334.93,296.92295,1390.36,27275.97,,,
2004-06-01,370.91819,1736.84,34073.36,303.49981,1421.15,27880.16,,,
2004-07-01,410.29332,1921.22,37690.44,335.71868,1572.02,30839.85,,,
2004-08-01,392.20406,1836.51,36028.64,320.91594,1502.7,29479.97,,,
2004-09-01,364.06212,1704.74,33445.59,297.85488,1394.72,27363.28,,,
2004-10-01,403.01005,1887.11,37021.3,329.75795,1544.11,30292.22,,,
2004-11-01,403.36907,1888.79,37054.3,330.05093,1545.48,30319.15,,,
2004-12-01,409.21104,1916.15,37591.0,334.83196,1567.87,30758.38,,,
2005-01-01,369.04598,1728.08,34145.76,289.94875,1357.7,26827.33,1.6992699999999998,7.96,157.22
2005-02-01,329.22330999999997,1541.61,30460.73,258.66115,1211.19,23932.11,1.50654,7.05,139.39
2005-03-01,375.97540000000004,1760.52,34790.39,295.39301,1383.19,27333.81,1.7976,8.42,166.34
2005-04-01,375.17024,1756.75,34718.42,294.76198999999997,1380.24,27277.41,1.84276,8.63,170.53
2005-05-01,412.74235,1932.69,38167.89,324.28061,1518.46,29987.49,1.49604,7.01,138.34
2005-06-01,408.3161,1911.96,37813.34,320.80145,1502.17,29708.79,2.5414499999999998,11.9,235.36
2005-07-01,422.43035,1978.05,39153.72,331.89142,1554.1,30761.95,3.27223,15.32,303.29
2005-08-01,420.38573,1968.48,38976.67,330.28580999999997,1546.58,30622.93,3.49746,16.38,324.27
2005-09-01,396.54814999999996,1856.85,36715.77,311.55804,1458.88,28846.67,2.31681,10.85,214.51
2005-10-01,400.69728,1876.28,37061.87,314.81791,1474.15,29118.59,1.60381,7.51,148.34
2005-11-01,403.66805,1890.2,37327.57,317.15196,1485.08,29327.35,1.44,6.74,133.16
2005-12-01,404.50551,1894.11,37410.76,317.80993,1488.16,29392.7,1.5555599999999998,7.28,143.87
2006-01-01,,,,,,,1.92109,9.0,151.78
2006-02-01,,,,,,,1.9147299999999998,8.97,151.35
2006-03-01,,,,,,,2.0875,9.77,165.11
2006-04-01,,,,,,,1.75772,8.23,138.82
2006-05-01,,,,,,,1.7054099999999999,7.99,134.67
2006-06-01,,,,,,,2.18011,10.21,172.25
2006-07-01,,,,,,,3.26122,15.27,257.97
2006-08-01,,,,,,,3.07122,14.38,242.87
2006-09-01,,,,,,,2.1801399999999997,10.21,172.26
2006-10-01,,,,,,,2.4303399999999997,11.38,192.12
2006-11-01,,,,,,,2.09038,9.79,165.25
2006-12-01,,,,,,,2.04318,9.57,161.48
2007-01-01,,,,,,,0.0,0.0,0.0
2007-02-01,,,,,,,0.0,0.0,0.0
2007-03-01,,,,,,,0.0,0.0,0.0
2007-04-01,,,,,,,0.0,0.0,0.0
2007-05-01,,,,,,,0.0,0.0,0.0
2007-06-01,,,,,,,0.0,0.0,0.0
2007-07-01,,,,,,,0.0,0.0,0.0
2007-08-01,,,,,,,0.0,0.0,0.0
2007-09-01,,,,,,,0.0,0.0,0.0
2007-10-01,,,,,,,0.0,0.0,0.0
2007-11-01,,,,,,,0.0,0.0,0.0
2007-12-01,,,,,,,0.0,0.0,0.0
2008-01-01,,,,,,,0.0,0.0,0.0
2008-02-01,,,,,,,0.0,0.0,0.0
2008-03-01,,,,,,,0.0,0.0,0.0
2008-04-01,,,,,,,0.0,0.0,0.0
2008-05-01,,,,,,,0.0,0.0,0.0
2008-06-01,,,,,,,0.0,0.0,0.0
2008-07-01,,,,,,,0.0,0.0,0.0
2008-08-01,,,,,,,0.0,0.0,0.0
2008-09-01,,,,,,,0.0,0.0,0.0
2008-10-01,,,,,,,0.0,0.0,0.0
2008-11-01,,,,,,,0.0,0.0,0.0
2008-12-01,,,,,,,0.0,0.0,0.0
2009-01-01,,,,,,,0.0,0.0,0.0
2009-02-01,,,,,,,0.0,0.0,0.0
2009-03-01,,,,,,,0.0,0.0,0.0
2009-04-01,,,,,,,0.0,0.0,0.0
2009-05-01,,,,,,,0.0,0.0,0.0
2009-06-01,,,,,,,0.0,0.0,0.0
2009-07-01,,,,,,,0.0,0.0,0.0
2009-08-01,,,,,,,0.0,0.0,0.0
2009-09-01,,,,,,,0.0,0.0,0.0
2009-10-01,,,,,,,0.0,0.0,0.0
2009-11-01,,,,,,,0.0,0.0,0.0
2009-12-01,,,,,,,0.0,0.0,0.0
2010-01-01,,,,,,,0.0,0.0,0.0
2010-02-01,,,,,,,0.0,0.0,0.0
2010-03-01,,,,,,,0.0,0.0,0.0
2010-04-01,,,,,,,0.0,0.0,0.0
2010-05-01,,,,,,,0.0,0.0,0.0
2010-06-01,,,,,,,0.0,0.0,0.0
2010-07-01,,,,,,,0.0,0.0,0.0
2010-08-01,,,,,,,0.0,0.0,0.0
2010-09-01,,,,,,,0.0,0.0,0.0
2010-10-01,,,,,,,0.0,0.0,0.0
2010-11-01,,,,,,,0.0,0.0,0.0
2010-12-01,,,,,,,0.0,0.0,0.0
2011-01-01,,,,,,,0.0,0.0,0.0
2011-02-01,,,,,,,0.0,0.0,0.0
2011-03-01,,,,,,,0.0,0.0,0.0
2011-04-01,,,,,,,0.0,0.0,0.0
2011-05-01,,,,,,,0.0,0.0,0.0
2011-06-01,,,,,,,0.0,0.0,0.0
2011-07-01,,,,,,,0.0,0.0,0.0
2011-08-01,,,,,,,0.0,0.0,0.0
2011-09-01,,,,,,,0.0,0.0,0.0
2011-10-01,,,,,,,0.0,0.0,0.0
2011-11-01,,,,,,,0.0,0.0,0.0
2011-12-01,,,,,,,0.0,0.0,0.0
2012-01-01,,,,,,,0.0,0.0,0.0
2012-02-01,,,,,,,0.0,0.0,0.0
2012-03-01,,,,,,,0.0,0.0,0.0
2012-04-01,,,,,,,0.0,0.0,0.0
2012-05-01,,,,,,,0.0,0.0,0.0
2012-06-01,,,,,,,0.0,0.0,0.0
2012-07-01,,,,,,,0.0,0.0,0.0
2012-08-01,,,,,,,0.0,0.0,0.0
2012-09-01,,,,,,,0.0,0.0,0.0
2012-10-01,,,,,,,0.0,0.0,0.0
2012-11-01,,,,,,,0.0,0.0,0.0
2012-12-01,,,,,,,0.0,0.0,0.0
2013-01-01,,,,,,,0.0,0.0,0.0
2013-02-01,,,,,,,0.0,0.0,0.0
2013-03-01,,,,,,,0.0,0.0,0.0
2013-04-01,,,,,,,0.0,0.0,0.0
2013-05-01,,,,,,,0.0,0.0,0.0
2013-06-01,,,,,,,0.0,0.0,0.0
2013-07-01,,,,,,,0.0,0.0,0.0
2013-08-01,,,,,,,0.0,0.0,0.0
2013-09-01,,,,,,,0.0,0.0,0.0
2013-10-01,,,,,,,0.0,0.0,0.0
2013-11-01,,,,,,,0.0,0.0,0.0
2013-12-01,,,,,,,0.0,0.0,0.0
2014-01-01,,,,,,,1.928,9.0,131.0
2014-02-01,,,,,,,2.184,10.0,146.0
2014-03-01,,,,,,,2.32,11.0,155.0
2014-04-01,,,,,,,1.919,9.0,128.0
2014-05-01,,,,,,,2.068,10.0,138.0
2014-06-01,,,,,,,2.719,13.0,182.0
2014-07-01,,,,,,,3.186,15.0,213.0
2014-08-01,,,,,,,2.917,14.0,195.0
2014-09-01,,,,,,,2.719,13.0,182.0
2014-10-01,,,,,,,2.291,11.0,153.0
2014-11-01,,,,,,,2.158,10.0,144.0
2014-12-01,,,,,,,2.349,11.0,157.0
2015-01-01,,,,,,,0.0,0.0,0.0
2015-02-01,,,,,,,0.0,0.0,0.0
2015-03-01,,,,,,,0.0,0.0,0.0
2015-04-01,,,,,,,0.0,0.0,0.0
2015-05-01,,,,,,,0.0,0.0,0.0
2015-06-01,,,,,,,0.0,0.0,0.0
2015-07-01,,,,,,,0.0,0.0,0.0
2015-08-01,,,,,,,0.0,0.0,0.0
2015-09-01,,,,,,,0.0,0.0,0.0
2015-10-01,,,,,,,0.0,0.0,0.0
2015-11-01,,,,,,,0.0,0.0,0.0
2015-12-01,,,,,,,0.0,0.0,0.0
2016-01-01,,,,,,,0.0,0.0,0.0
2016-02-01,,,,,,,0.0,0.0,0.0
2016-03-01,,,,,,,0.0,0.0,0.0
2016-04-01,,,,,,,0.0,0.0,0.0
2016-05-01,,,,,,,0.0,0.0,0.0
2016-06-01,,,,,,,0.0,0.0,0.0
2016-07-01,,,,,,,0.0,0.0,0.0
2016-08-01,,,,,,,0.0,0.0,0.0
2016-09-01,,,,,,,0.0,0.0,0.0
2016-10-01,,,,,,,0.0,0.0,0.0
2016-11-01,,,,,,,0.0,0.0,0.0
2016-12-01,,,,,,,0.0,0.0,0.0
2017-01-01,,,,,,,0.0,0.0,0.0
2017-02-01,,,,,,,0.0,0.0,0.0
2017-03-01,,,,,,,0.0,0.0,0.0
2017-04-01,,,,,,,0.0,0.0,0.0
2017-05-01,,,,,,,0.0,0.0,0.0
2017-06-01,,,,,,,0.0,0.0,0.0
2017-07-01,,,,,,,0.0,0.0,0.0
2017-08-01,,,,,,,0.0,0.0,0.0
2017-09-01,,,,,,,0.0,0.0,0.0
2017-10-01,,,,,,,0.0,0.0,0.0
2017-11-01,,,,,,,0.0,0.0,0.0
2017-12-01,,,,,,,0.0,0.0,0.0
2018-01-01,,,,,,,0.0,0.0,0.0
2018-02-01,,,,,,,0.0,0.0,0.0
2018-03-01,,,,,,,0.0,0.0,0.0
2018-04-01,,,,,,,0.0,0.0,0.0
2018-05-01,,,,,,,0.0,0.0,0.0
2018-06-01,,,,,,,0.0,0.0,0.0
2018-07-01,,,,,,,0.0,0.0,0.0
2018-08-01,,,,,,,0.0,0.0,0.0
2018-09-01,,,,,,,0.0,0.0,0.0
2018-10-01,,,,,,,0.0,0.0,0.0
2018-11-01,,,,,,,0.0,0.0,0.0
2018-12-01,,,,,,,0.0,0.0,0.0
2019-01-01,,,,,,,0.0,0.0,0.0
2019-02-01,,,,,,,0.0,0.0,0.0
2019-03-01,,,,,,,0.0,0.0,0.0
2019-04-01,,,,,,,0.0,0.0,0.0
2019-05-01,,,,,,,0.0,0.0,0.0
2019-06-01,,,,,,,0.0,0.0,0.0
2019-07-01,,,,,,,0.0,0.0,0.0
2019-08-01,,,,,,,0.0,0.0,0.0
2019-09-01,,,,,,,0.0,0.0,0.0
2019-10-01,,,,,,,0.0,0.0,0.0
2019-11-01,,,,,,,0.0,0.0,0.0
2019-12-01,,,,,,,0.0,0.0,0.0
2020-01-01,,,,,,,0.0,0.0,0.0
2020-02-01,,,,,,,0.0,0.0,0.0
2020-03-01,,,,,,,0.0,0.0,0.0
2020-04-01,,,,,,,0.0,0.0,0.0
2020-05-01,,,,,,,0.0,0.0,0.0
2020-06-01,,,,,,,0.0,0.0,0.0
2020-07-01,,,,,,,0.0,0.0,0.0
2020-08-01,,,,,,,0.0,0.0,0.0
2020-09-01,,,,,,,0.0,0.0,0.0
2020-10-01,,,,,,,0.0,0.0,0.0
2020-11-01,,,,,,,0.0,0.0,0.0
2020-12-01,,,,,,,0.0,0.0,0.0
2021-01-01,,,,,,,0.0,0.0,0.0
2021-02-01,,,,,,,0.0,0.0,0.0
2021-03-01,,,,,,,0.0,0.0,0.0
2021-04-01,,,,,,,0.0,0.0,0.0
2021-05-01,,,,,,,0.0,0.0,0.0
2021-06-01,,,,,,,0.0,0.0,0.0
2021-07-01,,,,,,,0.0,0.0,0.0
2021-08-01,,,,,,,0.0,0.0,0.0
2021-09-01,,,,,,,0.0,0.0,0.0
2021-10-01,,,,,,,0.0,0.0,0.0
2021-11-01,,,,,,,0.0,0.0,0.0
2021-12-01,,,,,,,0.0,0.0,0.0
2022-01-01,,,,,,,0.0,0.0,0.0
2022-02-01,,,,,,,0.0,0.0,0.0
2022-03-01,,,,,,,0.0,0.0,0.0
2022-04-01,,,,,,,0.0,0.0,0.0
2022-05-01,,,,,,,0.0,0.0,0.0
2022-06-01,,,,,,,0.0,0.0,0.0
2022-07-01,,,,,,,0.0,0.0,0.0
2022-08-01,,,,,,,0.0,0.0,0.0
2022-09-01,,,,,,,0.0,0.0,0.0
2022-10-01,,,,,,,0.0,0.0,0.0
2022-11-01,,,,,,,0.0,0.0,0.0
2022-12-01,,,,,,,0.0,0.0,0.0
2023-01-01,,,,,,,0.0,0.0,0.0
2023-02-01,,,,,,,0.0,0.0,0.0
2023-03-01,,,,,,,0.0,0.0,0.0
2023-04-01,,,,,,,0.0,0.0,0.0
2023-05-01,,,,,,,0.0,0.0,0.0
2023-06-01,,,,,,,0.0,0.0,0.0
2023-07-01,,,,,,,0.0,0.0,0.0
2023-08-01,,,,,,,0.0,0.0,0.0
2023-09-01,,,,,,,0.0,0.0,0.0
2023-10-01,,,,,,,0.0,0.0,0.0
2023-11-01,,,,,,,0.0,0.0,0.0
2023-12-01,,,,,,,0.0,0.0,0.0
2024-01-01,,,,,,,0.0,0.0,0.0
2024-02-01,,,,,,,0.0,0.0,0.0
2024-03-01,,,,,,,0.0,0.0,0.0
2024-04-01,,,,,,,0.0,0.0,0.0
2024-05-01,,,,,,,0.0,0.0,0.0
2024-06-01,,,,,,,0.0,0.0,0.0
2024-07-01,,,,,,,0.0,0.0,0.0
2024-08-01,,,,,,,0.0,0.0,0.0
2024-09-01,,,,,,,0.0,0.0,0.0
2024-10-01,,,,,,,0.0,0.0,0.0
2024-11-01,,,,,,,0.0,0.0,0.0
2024-12-01,,,,,,,0.0,0.0,0.0
