measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,,,
2005-02-01,0.0,0.0,0.0,,,
2005-03-01,0.0,0.0,0.0,,,
2005-04-01,0.0,0.0,0.0,,,
2005-05-01,0.0,0.0,0.0,,,
2005-06-01,0.0,0.0,0.0,,,
2005-07-01,0.0,0.0,0.0,,,
2005-08-01,0.0,0.0,0.0,,,
2005-09-01,0.0,0.0,0.0,,,
2005-10-01,0.0,0.0,0.0,,,
2005-11-01,0.0,0.0,0.0,,,
2005-12-01,0.0,0.0,0.0,,,
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,,,,0.0,0.0,0.0
