measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2003-01-01,804.5690000000001,4194.0,4194.0,,,,,,
2003-02-01,709.264,3697.0,3697.0,,,,,,
2003-03-01,704.384,3671.0,3671.0,,,,,,
2003-04-01,710.3910000000001,3703.0,3703.0,,,,,,
2003-05-01,845.284,4406.0,4406.0,,,,,,
2003-06-01,882.479,4600.0,4600.0,,,,,,
2003-07-01,962.74,5018.0,5018.0,,,,,,
2003-08-01,1017.6360000000001,5304.0,5304.0,,,,,,
2003-09-01,835.466,4355.0,4355.0,,,,,,
2003-10-01,757.359,3948.0,3948.0,,,,,,
2003-11-01,717.115,3738.0,3738.0,,,,,,
2003-12-01,741.6740000000001,3866.0,3866.0,,,,,,
2004-01-01,,,,0.0,0.0,0.0,,,
2004-02-01,,,,0.0,0.0,0.0,,,
2004-03-01,,,,0.0,0.0,0.0,,,
2004-04-01,,,,0.0,0.0,0.0,,,
2004-05-01,,,,0.0,0.0,0.0,,,
2004-06-01,,,,0.0,0.0,0.0,,,
2004-07-01,,,,0.0,0.0,0.0,,,
2004-08-01,,,,0.0,0.0,0.0,,,
2004-09-01,,,,0.0,0.0,0.0,,,
2004-10-01,,,,0.0,0.0,0.0,,,
2004-11-01,,,,0.0,0.0,0.0,,,
2004-12-01,,,,0.0,0.0,0.0,,,
2005-01-01,,,,,,,0.0,0.0,0.0
2005-02-01,,,,,,,0.0,0.0,0.0
2005-03-01,,,,,,,0.0,0.0,0.0
2005-04-01,,,,,,,0.0,0.0,0.0
2005-05-01,,,,,,,0.0,0.0,0.0
2005-06-01,,,,,,,0.0,0.0,0.0
2005-07-01,,,,,,,0.0,0.0,0.0
2005-08-01,,,,,,,0.0,0.0,0.0
2005-09-01,,,,,,,0.0,0.0,0.0
2005-10-01,,,,,,,0.0,0.0,0.0
2005-11-01,,,,,,,0.0,0.0,0.0
2005-12-01,,,,,,,0.0,0.0,0.0
2006-01-01,,,,,,,0.0,0.0,0.0
2006-02-01,,,,,,,0.0,0.0,0.0
2006-03-01,,,,,,,0.0,0.0,0.0
2006-04-01,,,,,,,0.0,0.0,0.0
2006-05-01,,,,,,,0.0,0.0,0.0
2006-06-01,,,,,,,0.0,0.0,0.0
2006-07-01,,,,,,,0.0,0.0,0.0
2006-08-01,,,,,,,0.0,0.0,0.0
2006-09-01,,,,,,,0.0,0.0,0.0
2006-10-01,,,,,,,0.0,0.0,0.0
2006-11-01,,,,,,,0.0,0.0,0.0
2006-12-01,,,,,,,0.0,0.0,0.0
2007-01-01,,,,,,,0.0,0.0,0.0
2007-02-01,,,,,,,0.0,0.0,0.0
2007-03-01,,,,,,,0.0,0.0,0.0
2007-04-01,,,,,,,0.0,0.0,0.0
2007-05-01,,,,,,,0.0,0.0,0.0
2007-06-01,,,,,,,0.0,0.0,0.0
2007-07-01,,,,,,,0.0,0.0,0.0
2007-08-01,,,,,,,0.0,0.0,0.0
2007-09-01,,,,,,,0.0,0.0,0.0
2007-10-01,,,,,,,0.0,0.0,0.0
2007-11-01,,,,,,,0.0,0.0,0.0
2007-12-01,,,,,,,0.0,0.0,0.0
2008-01-01,,,,,,,16.82,166.0,166.0
2008-02-01,,,,,,,27.574,272.0,272.0
2008-03-01,,,,,,,15.232000000000001,150.0,150.0
2008-04-01,,,,,,,21.933,216.0,216.0
2008-05-01,,,,,,,28.838,284.0,284.0
2008-06-01,,,,,,,26.859,265.0,265.0
2008-07-01,,,,,,,31.114,307.0,307.0
2008-08-01,,,,,,,29.575000000000003,291.0,291.0
2008-09-01,,,,,,,15.627,154.0,154.0
2008-10-01,,,,,,,11.26,111.0,111.0
2008-11-01,,,,,,,16.963,167.0,167.0
2008-12-01,,,,,,,22.205000000000002,219.0,219.0
2009-01-01,,,,,,,0.0,0.0,0.0
2009-02-01,,,,,,,0.0,0.0,0.0
2009-03-01,,,,,,,0.0,0.0,0.0
2009-04-01,,,,,,,0.0,0.0,0.0
2009-05-01,,,,,,,0.0,0.0,0.0
2009-06-01,,,,,,,0.0,0.0,0.0
2009-07-01,,,,,,,0.0,0.0,0.0
2009-08-01,,,,,,,0.0,0.0,0.0
2009-09-01,,,,,,,0.0,0.0,0.0
2009-10-01,,,,,,,0.0,0.0,0.0
2009-11-01,,,,,,,0.0,0.0,0.0
2009-12-01,,,,,,,0.0,0.0,0.0
2010-01-01,,,,,,,0.0,0.0,0.0
2010-02-01,,,,,,,0.0,0.0,0.0
2010-03-01,,,,,,,0.0,0.0,0.0
2010-04-01,,,,,,,0.0,0.0,0.0
2010-05-01,,,,,,,0.0,0.0,0.0
2010-06-01,,,,,,,0.0,0.0,0.0
2010-07-01,,,,,,,0.0,0.0,0.0
2010-08-01,,,,,,,0.0,0.0,0.0
2010-09-01,,,,,,,0.0,0.0,0.0
2010-10-01,,,,,,,0.0,0.0,0.0
2010-11-01,,,,,,,0.0,0.0,0.0
2010-12-01,,,,,,,0.0,0.0,0.0
2011-01-01,,,,,,,0.0,0.0,0.0
2011-02-01,,,,,,,0.0,0.0,0.0
2011-03-01,,,,,,,0.0,0.0,0.0
2011-04-01,,,,,,,0.0,0.0,0.0
2011-05-01,,,,,,,0.0,0.0,0.0
2011-06-01,,,,,,,0.0,0.0,0.0
2011-07-01,,,,,,,0.0,0.0,0.0
2011-08-01,,,,,,,0.0,0.0,0.0
2011-09-01,,,,,,,0.0,0.0,0.0
2011-10-01,,,,,,,0.0,0.0,0.0
2011-11-01,,,,,,,0.0,0.0,0.0
2011-12-01,,,,,,,0.0,0.0,0.0
2012-01-01,,,,,,,0.0,0.0,0.0
2012-02-01,,,,,,,0.0,0.0,0.0
2012-03-01,,,,,,,0.0,0.0,0.0
2012-04-01,,,,,,,0.0,0.0,0.0
2012-05-01,,,,,,,0.0,0.0,0.0
2012-06-01,,,,,,,0.0,0.0,0.0
2012-07-01,,,,,,,0.0,0.0,0.0
2012-08-01,,,,,,,0.0,0.0,0.0
2012-09-01,,,,,,,0.0,0.0,0.0
2012-10-01,,,,,,,0.0,0.0,0.0
2012-11-01,,,,,,,0.0,0.0,0.0
2012-12-01,,,,,,,0.0,0.0,0.0
2014-01-01,,,,,,,0.0,0.0,0.0
2014-02-01,,,,,,,0.0,0.0,0.0
2014-03-01,,,,,,,0.0,0.0,0.0
2014-04-01,,,,,,,0.0,0.0,0.0
2014-05-01,,,,,,,0.0,0.0,0.0
2014-06-01,,,,,,,0.0,0.0,0.0
2014-07-01,,,,,,,0.0,0.0,0.0
2014-08-01,,,,,,,0.0,0.0,0.0
2014-09-01,,,,,,,0.0,0.0,0.0
2014-10-01,,,,,,,0.0,0.0,0.0
2014-11-01,,,,,,,0.0,0.0,0.0
2014-12-01,,,,,,,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
