measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2018-08-01,,,,-3712.722,0.0,0.0,22.0,594.0,594.0,-102.278,0.0,0.0,,,,,,
2018-09-01,0.0,0.0,0.0,,,,12.0,317.0,317.0,,,,,,,,,
2018-10-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2018-11-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2018-12-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2019-01-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2019-02-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2019-03-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2019-04-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2019-05-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2019-06-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2019-07-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2019-08-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2019-09-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2019-10-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2019-11-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2019-12-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2020-01-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2020-02-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2020-03-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2020-04-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2020-05-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2020-06-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2020-07-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2020-08-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
2020-09-01,,,,,,,0.0,0.0,0.0,,,,,,,,,
