Prime Mover Code,Prime Mover Description
BA,"Energy Storage, Battery"
CE,"Energy Storage, Compressed Air"
CP,"Energy Storage, Concentrated Solar Power"
FW,"Energy Storage, Flywheel"
PS,"Energy Storage, Reversible Hydraulic Turbine (Pumped Storage)"
ES,"Energy Storage, Other"
ST,"Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle)"
GT,Combustion (Gas) Turbine (including jet engine design)
IC,"Internal Combustion Engine (diesel, piston, reciprocating)"
CA,Combined Cycle Steam Part
CT,Combined Cycle Combustion Turbine Part
CS,Combined Cycle Single Shaft
CC,Combined Cycle Total Unit
HA,"Hydrokinetic, Axial Flow Turbine"
HB,"Hydrokinetic, Wave Buoy"
HK,"Hydrokinetic, Other"
HY,Hydroelectric Turbine (including turbines associated with delivery of water by pipeline)
BT,Turbines Used in a Binary Cycle (including those used for geothermal applications)
PV,Photovoltaic
WT,"Wind Turbine, Onshore"
WS,"Wind Turbine, Offshore"
FC,Fuel Cell
OT,Other
